# 语义层自动表：异体字 → 整理本用形（LM 统计 / 阅读辅助用），由 scripts/build_semantic_variants.py 派生。
# 格式：异体字	代表字	来源(ledger|graph)。手工表 config/dicts/variants.tsv 覆盖本表。
# 字形层标签永远保留精确异体字形，绝不按此表合并。
# edition=wuyingdian_zongmu  entries=9076
塦	陣	graph
塧	隘	graph
塩	鹽	graph
墂	標	graph
墆	滯	graph
墈	坎	graph
墊	阽	graph
墋	堪	graph
墍	塈	graph
墎	郭	graph
墑	的	graph
墕	堰	graph
増	增	graph
墪	墩	graph
墿	驛	graph
壀	埤	graph
壃	疆	graph
壐	璽	graph
壕	濠	graph
壙	曠	graph
壛	閻	graph
壟	隴	graph
壧	巖	graph
壨	壘	graph
壱	壹	graph
売	賣	graph
壶	壺	graph
壷	壺	graph
夀	壽	graph
夁	壹	graph
处	處	graph
夈	齋	graph
変	變	graph
夓	夏	graph
夛	多	graph
夨	側	graph
头	頭	graph
夺	奪	graph
奈	柰	graph
奌	點	graph
她	他	graph
妑	妃	graph
妒	姤	graph
妛	媸	graph
妝	糚	graph
姉	姊	graph
姖	姬	graph
姟	孩	graph
姫	姬	graph
姷	侑	graph
姸	妍	graph
娄	婁	graph
娦	嬪	graph
娯	娛	graph
娰	姒	graph
娱	娛	graph
娲	媧	graph
婣	姻	graph
婴	嬰	graph
婿	壻	graph
媀	偶	graph
媍	婦	graph
媫	婕	graph
媯	嬀	graph
媺	美	graph
嫔	嬪	graph
嫺	嫻	graph
嬈	饒	graph
嬉	喜	graph
嬍	美	graph
嬯	儓	graph
嬹	興	graph
孀	霜	graph
孁	靈	graph
孅	纖	graph
孆	嬰	graph
孋	驪	graph
孖	滋	graph
孙	孫	graph
孞	信	graph
孠	嗣	graph
孶	孳	graph
孹	擘	graph
孾	嬰	graph
宍	肉	graph
宐	宜	graph
宖	宏	graph
実	實	graph
宠	寵	graph
审	審	graph
宪	憲	graph
宻	密	graph
宽	寬	graph
宾	賓	graph
寈	青	graph
寍	寧	graph
寏	院	graph
寕	寧	graph
寚	寶	graph
寜	寧	graph
寳	寶	graph
导	導	graph
対	對	graph
寿	壽	graph
尘	塵	graph
尙	尚	graph
尞	燎	graph
尧	堯	graph
层	層	graph
屚	漏	graph
屛	屏	graph
屝	扉	graph
属	屬	graph
屡	屢	graph
屦	屨	graph
屿	嶼	graph
岚	嵐	graph
岤	穴	graph
岥	坡	graph
岺	岭	graph
岿	巋	graph
峀	邦	graph
峄	嶧	graph
峜	計	graph
峡	峽	graph
峦	巒	graph
峨	峩	graph
崃	崍	graph
崈	崇	graph
崏	岷	graph
崕	崖	graph
嵆	嵇	graph
嵑	碣	graph
嵗	歲	graph
嵠	谿	graph
嶉	崔	graph
嶋	島	graph
嶌	島	graph
嶎	蔚	graph
嶡	蹶	graph
嶳	地	graph
嶹	島	graph
巌	巖	graph
巚	巘	graph
巜	澮	graph
巣	巢	graph
巺	巽	graph
帅	帥	graph
师	師	graph
帋	紙	graph
帏	幃	graph
帐	帳	graph
帔	被	graph
帘	簾	graph
帠	臬	graph
带	帶	graph
帯	帶	graph
帰	歸	graph
帼	幗	graph
幈	屏	graph
幑	徽	graph
幜	景	graph
幡	旛	graph
幮	㡡	graph
庂	仄	graph
庆	慶	graph
床	牀	graph
庐	廬	graph
庑	廡	graph
庒	莊	graph
库	庫	graph
应	應	graph
店	坫	graph
庙	廟	graph
庞	龐	graph
庥	休	graph
庪	庋	graph
庴	廟	graph
庺	松	graph
庿	廟	graph
廃	廢	graph
廔	樓	graph
廗	席	graph
廘	鹿	graph
廝	㒋	graph
廠	厰	graph
廰	廳	graph
廴	引	graph
廹	迫	graph
廽	迴	graph
廿	卄	graph
异	異	graph
弃	棄	graph
弈	奕	graph
弎	三	graph
张	張	graph
弹	彈	graph
弻	弼	graph
弾	彈	graph
彂	發	graph
归	歸	graph
彞	彝	graph
彣	文	graph
彵	迤	graph
彻	徹	graph
徍	往	graph
徎	逞	graph
徏	陟	graph
徘	俳	graph
徝	陟	graph
徣	借	graph
徦	蝦	graph
徨	遑	graph
徰	征	graph
徳	德	graph
徴	徵	graph
忄	心	graph
忆	憶	graph
忈	仁	graph
忎	仁	graph
応	應	graph
忢	悟	graph
忼	慷	graph
怀	懷	graph
态	態	graph
怃	憮	graph
怌	懷	graph
怘	固	graph
怜	憐	graph
怣	尤	graph
怹	他	graph
怼	懟	graph
怿	懌	graph
恆	恒	graph
恖	思	graph
恡	吝	graph
恳	懇	graph
恴	德	graph
恵	惠	graph
悋	吝	graph
悦	悅	graph
悪	惡	graph
悬	懸	graph
悯	憫	graph
惂	慆	graph
惈	果	graph
惖	惕	graph
惞	欣	graph
惧	懼	graph
惩	懲	graph
惫	憊	graph
惮	憚	graph
惱	惚	graph
愀	愁	graph
愂	悖	graph
愊	幅	graph
愒	曷	graph
愙	恪	graph
愤	憤	graph
愨	慤	graph
愳	懼	graph
愷	凱	graph
愻	遜	graph
愽	博	graph
慇	殷	graph
慌	茫	graph
慜	愍	graph
慝	匿	graph
慯	傷	graph
慿	憑	graph
憉	澎	graph
憜	惰	graph
憰	譎	graph
憻	坦	graph
懑	懣	graph
懔	凛	graph
