# components_v1  K=20  source=ids_lv1.txt@503a655a9436  columns: component	n_chars	kind
责	24	stop
退	24	stop
造	24	stop
遺	24	stop
郭	24	stop
量	24	stop
閑	24	stop
飞	24	stop
𰃦	24	stop
#(-𠃌𠃊x0)	23	stroke
㘝	23	stop
便	23	stop
匹	23	stop
叐	23	stop
叵	23	stop
地	23	stop
坒	23	stop
堆	23	stop
孕	23	stop
孤	23	stop
宂	23	stop
尽	23	stop
岩	23	stop
巷	23	stop
弇	23	stop
彼	23	stop
徙	23	stop
显	23	stop
朩	23	stop
森	23	stop
榮	23	stop
欣	23	stop
毕	23	stop
爱	23	stop
界	23	stop
盆	23	stop
短	23	stop
絜	23	stop
脊	23	stop
舞	23	stop
荒	23	stop
虽	23	stop
连	23	stop
道	23	stop
黹	23	stop
𡉵	23	stop
𡕩	23	stop
𡘆	23	stop
𦎧	23	stop
𬀷	23	stop
㬅	22	stop
乘	22	stop
兰	22	stop
冷	22	stop
卵	22	stop
厼	22	stop
寮	22	stop
屑	22	stop
崩	22	stop
巧	22	stop
患	22	stop
慧	22	stop
戢	22	stop
渠	22	stop
炭	22	stop
獻	22	stop
禽	22	stop
粟	22	stop
莽	22	stop
虔	22	stop
負	22	stop
赞	22	stop
隆	22	stop
𠮷	22	stop
𦙃	22	stop
𩠐	22	stop
事	21	stop
他	21	stop
党	21	stop
勉	21	stop
吳	21	stop
奢	21	stop
姜	21	stop
學	21	stop
宇	21	stop
宫	21	stop
庄	21	stop
役	21	stop
律	21	stop
悉	21	stop
所	21	stop
梨	21	stop
楚	21	stop
独	21	stop
畟	21	stop
畫	21	stop
皷	21	stop
聂	21	stop
肥	21	stop
艾	21	stop
著	21	stop
處	21	stop
蚩	21	stop
覽	21	stop
費	21	stop
雩	21	stop
𠱠	21	stop
𠳮	21	stop
#(一-𠃍丨b一)	20	stroke
㫐	20	stop
乌	20	stop
僕	20	stop
印	20	stop
咨	20	stop
埋	20	stop
奎	20	stop
孱	20	stop
富	20	stop
崙	20	stop
已	20	stop
移	20	stop
筆	20	stop
粤	20	stop
紫	20	stop
臺	20	stop
茸	20	stop
蔡	20	stop
藍	20	stop
藏	20	stop
衛	20	stop
赖	20	stop
離	20	stop
𠂊	20	stop
𧴪	20	stop
#(-𠃊𠃍-一𠃑)	19	stroke
#(-𠃌㇉)	19	stroke
#(一-𠃍𠃑-一丨)	19	stroke
𡿨	18	atom
𠄎	16	atom
#(丨-一丿)	14	stroke
#(丿丨b一-𠃍)	12	stroke
#(𠃍-𠃊𠃍)	12	stroke
#(丨-一丨)	11	stroke
#(-丨㇅-丨𠃌)	10	stroke
#(-𠃌丨b一)	8	stroke
#(丨b一-𠃍)	8	stroke
#(𠃑-一乚)	8	stroke
凸	8	atom
𡰣	8	atom
𬼂	8	atom
#(-𠃊𠃍-一𠃑z)	6	stroke
#(㇇乀)	6	stroke
#(-丨一-𠃍𠃑)	5	stroke
#(-乛丨)	5	stroke
#(-丨一-𠃑一-𠃍𠃑-一𠃑)	4	stroke
#(一-𠃑)	4	stroke
〇	4	atom
#(-𠃍㇉)	3	stroke
#(一-𠃍𠃊-𠃍𠃊)	3	stroke
#(-㇇𠃊)	2	stroke
#(-乀-丿乀丿z)	2	stroke
#(-𠃋丶z)	2	stroke
#(-𠃍丨乛)	2	stroke
#(-𠃍𠃊-𠃍𠃊)	2	stroke
#(-𠃍𠄌)	2	stroke
#(◞x3◟◜◝-◟)	2	stroke
#(一-丨一)	2	stroke
#(一-𠃑一-𠃍)	2	stroke
#(丨-一㇉)	2	stroke
#(丨-一𠃊)	2	stroke
#(丨-一𠃊-𠃑)	2	stroke
#(丨-𠃊一)	2	stroke
#(丨x3◞◟◜)	2	stroke
#(丿㇉)	2	stroke
#(丿乚)	2	stroke
#(丿𠃑)	2	stroke
#(乀丿)	2	stroke
#(𠃊-𠃍丨)	2	stroke
#(𠃍-𠃊一)	2	stroke
#(𠃍乀)	2	stroke
㇋	2	atom
乁	2	atom
𠕄	2	atom
#(-⺄𠃊)	1	stroke
#(-一𠃑-一𠃊)	1	stroke
#(-丨一-㇎丨)	1	stroke
#(-丨一-㇎丨-一𠃑)	1	stroke
