== border_detect Step1 边框探测：206 页
[311/1236] 25% border_detect_gate p105: 完成 0.10s
[312/1236] 25% border_detect_gate p106: 完成 0.11s
[313/1236] 25% border_detect_gate p107: 完成 0.11s
[314/1236] 25% border_detect_gate p108: 完成 0.11s
[315/1236] 25% border_detect_gate p109: 完成 0.11s
[316/1236] 25% border_detect_gate p110: 完成 0.11s
[317/1236] 25% border_detect_gate p111: 完成 0.10s
[318/1236] 25% border_detect_gate p112: 完成 0.10s
[319/1236] 25% border_detect_gate p113: 完成 0.10s
[320/1236] 25% border_detect_gate p114: 完成 0.12s
[321/1236] 25% border_detect_gate p115: 完成 0.10s
[322/1236] 26% border_detect_gate p116: 完成 0.10s
[323/1236] 26% border_detect_gate p117: 完成 0.11s
[324/1236] 26% border_detect_gate p118: 完成 0.11s
[325/1236] 26% border_detect_gate p119: 完成 0.10s
[326/1236] 26% border_detect_gate p120: 完成 0.12s
[327/1236] 26% border_detect_gate p121: 完成 0.11s
[328/1236] 26% border_detect_gate p122: 完成 0.10s
[329/1236] 26% border_detect_gate p123: 完成 0.10s
[330/1236] 26% border_detect_gate p124: 完成 0.10s
[331/1236] 26% border_detect_gate p125: 完成 0.11s
[332/1236] 26% border_detect_gate p126: 完成 0.11s
[333/1236] 26% border_detect_gate p127: 完成 0.10s
[334/1236] 27% border_detect_gate p128: 完成 0.11s
[335/1236] 27% border_detect_gate p129: 完成 0.10s
[336/1236] 27% border_detect_gate p130: 完成 0.10s
[337/1236] 27% border_detect_gate p131: 完成 0.10s
[338/1236] 27% border_detect_gate p132: 完成 0.11s
[339/1236] 27% border_detect_gate p133: 完成 0.11s
[340/1236] 27% border_detect_gate p134: 完成 0.11s
[341/1236] 27% border_detect_gate p135: 完成 0.11s
[342/1236] 27% border_detect_gate p136: 完成 0.11s
[343/1236] 27% border_detect_gate p137: 完成 0.10s
[344/1236] 27% border_detect_gate p138: 完成 0.10s
[345/1236] 27% border_detect_gate p139: 完成 0.11s
[346/1236] 27% border_detect_gate p140: 完成 0.10s
[347/1236] 28% border_detect_gate p141: 完成 0.11s
[348/1236] 28% border_detect_gate p142: 完成 0.12s
[349/1236] 28% border_detect_gate p143: 完成 0.10s
[350/1236] 28% border_detect_gate p144: 完成 0.11s
[351/1236] 28% border_detect_gate p145: 完成 0.11s
[352/1236] 28% border_detect_gate p146: 完成 0.12s
[353/1236] 28% border_detect_gate p147: 完成 0.10s
[354/1236] 28% border_detect_gate p148: 完成 0.11s
[355/1236] 28% border_detect_gate p149: 完成 0.11s
[356/1236] 28% border_detect_gate p150: 完成 0.11s
[357/1236] 28% border_detect_gate p151: 完成 0.11s
[358/1236] 28% border_detect_gate p152: 完成 0.12s
[359/1236] 29% border_detect_gate p153: 完成 0.10s
[360/1236] 29% border_detect_gate p154: 完成 0.11s
[361/1236] 29% border_detect_gate p155: 完成 0.10s
[362/1236] 29% border_detect_gate p156: 完成 0.11s
[363/1236] 29% border_detect_gate p157: 完成 0.10s
[364/1236] 29% border_detect_gate p158: 完成 0.12s
[365/1236] 29% border_detect_gate p159: 完成 0.12s
[366/1236] 29% border_detect_gate p160: 完成 0.11s
[367/1236] 29% border_detect_gate p161: 完成 0.11s
[368/1236] 29% border_detect_gate p162: 完成 0.10s
[369/1236] 29% border_detect_gate p163: 完成 0.10s
[370/1236] 29% border_detect_gate p164: 完成 0.11s
